Tweets;polaridad
@jguaido se les agradece a los Venezolanos colaborar con @mauriciomacri todos @MariaCorinaYA @hcapriles de ganar los miserables de CK tenemos seguro un regreso a la Patria eso es por tu bienestar;NEGATIVO
@jguaido se les agradece a los Venezolanos colaborar con @mauriciomacri todos @MariaCorinaYA @hcapriles de ganar los miserables de CK tenemos seguro un regreso a la Patria eso es por tu bienestar;NEGATIVO
"Te agradezco Albertito, pero paso con el abrazo, deseo de todo corazon que pierdan mañana, no podemos repetir el pasado nefasto que bien sabes que ""ella"" representa.";NEGATIVO
Agricultores ficticios... Los de verdad tienen los huevos al piso de gobiernos garcas. El campo quiere libertad, en las paso Espert #YoVotoEspert #EspertEnLasPasohttps://twitter.com/JoseLChilavert_/status/1159956932402339840 …;NEGATIVO
Jajaja aguanta popular! Sos el hincha número uno! Seguro vos le diste el bombo al Tula y Pillín te pide permiso para entrar a la cancha jajajaja andate a la puta que te parió, vos y Cristina jajaja;NEGATIVO
"Y hay que aguantarse a cada peronista pelotudo diciéndole ""facho"" al que piensa diferente. Y para colmo odian a los militares, menos mal que Perón era verdulero. #Espert2019 #EspertRosales2019 #Espertanos @jlespert @FrenteDespertar #ChauViejaPoliticahttps://twitter.com/anarcolico3/status/1159091679724523520 …";NEGATIVO
AGUANTE!!COMPAÑERA VAYA, A VOS EL ABRAZO DE SIEMPRE!!! AQUI ESTAN!!!ESTOS CELEBRES !!Y AMADOS ETERNAMENTE!! CFK Y ALBERTO FERNANDEZ!! Y LOS QUE UNIDOS A ELLOS!!!ESTAaN JUGANDOSE!! DESDE EL PRIMER!!MOMENTO!!! MAGARIO,EL SAN ALBERTO R.SAA ,UÑAC,SON TANTOS!!QUE dEJAN JIRONES!!;POSITIVO
AGUANTE LA FÓRMULA FERNÁNDEZ-FERNÁNDEZ CARAJOOO!;POSITIVO
Aguante mi futuro vicepresidente @MiguelPichetto;POSITIVO
Aguante Romina. Te sigo desde Cemento y cuando en los 90 construias las comisiones de desocupados en Lafe Sur en La Matanza profunda.;POSITIVO
Aguante Lavagna;POSITIVO
aguante macri;POSITIVO
Aguante MM19;POSITIVO
AGUANTE MACRI CARAJOOOOO #JuntosPorElCambio;POSITIVO
Aguante Pichetto!!!! Los Fernández = Venezuela;POSITIVO
Aguante @NicolasdelCano y el Frente de Izquierda Unidad;POSITIVO
Aguante macri manga de soretes deaaa;NEGATIVO
Aguante macri pedazo de putos;NEGATIVO
Aguante Macri. A seguir fumigando a las kk cucarachas corruptos resicnare lo economico pero sueño con una republica libertad sin rectriciones sacar toda la basura del congreso;NEGATIVO
Aguante Macri. A seguir fumigando a las kk cucarachas corruptos resicnare lo economico pero sueño con una republica libertad sin rectriciones sacar toda la basura del congreso;NEGATIVO
Aguante mauricio Sibrecito;AMBIGUO
Aguante nico del caño gill!!!!!! Jajajajaja;NEGATIVO
Aguante Macri puto;NEGATIVO
aguante macri gil;NEGATIVO
Aguante Macri vieja;POSITIVO
El Agus Fernández es una pija literal;NEGATIVO
Agus ya reflexione amiga quédate tranqui, voy a votar a espert para que se vayan todos los planeros chorros troscos ignorantes, no se como pude estar tan ciega todo este tiempo;NEGATIVO
Agustín Rosety Fernández de Castro. Eres un puto xenófobo muy culto ojalá estuvieras de refugiado en un barco a la deriba y te ahogaras o ahorcaras con ese hilo;NEGATIVO
Ah bueno. Hoy más que nunca MAURICIO MACRI LA PUTA QUE TE PARIOOO pic.twitter.com/mlHcdIZLlf;NEGATIVO
Ah bueno..! Una imbecil importante.! MACRI tiene 138 PROCESOS y asumió como presidente.! Con razón ganó ese delincuente...con analfabetos así cualquiera llega a presidente. Viva la ignorancia globoluda.! Que país generoso,diplomados en la Universidad TN d BURROS.!;NEGATIVO
Ah, sos economísta? , bárbaro, describime el superávit de los 12 años Kirchneristas y el de los últimos 4 años de gobierno de Macri, a ver, a ver... ahí sacamos cuentas. Dale, acá espero, ojo lo que decís, podes quedar como más boludo todavía.;NEGATIVO
Ah Federico, sos tremendo imbecil... La justicia es un poder independiente y que falló o procesó en un contexto neoliberal con Macri a la cabeza. ¿Que te lleva a intentar torcer tanto la historia?;NEGATIVO
Ah te haces el chistoso zurdo pelotudo;NEGATIVO
Ah no, lo unico que faltaba era que pase un avioncito diciendo “lavagna presidente” cada 5 minutos, como si estuvieramos en la playa y pasaran diciendo “churros churros”;AMBIGUO
Ah, y hay pintadas de libertarios en la facultad. Las autoridades no distinguen entre una pancarta de Espert y una de Del Caño. Dejan todas. Posiblemente un militante del PO arrancaría una de Espert, como hay quienes arrancan las del PO... Creo que tu argumento no funciona.;NEGATIVO
Ah re que nadie va a salir a perseguir gorilas a decirles que nos argumenten por qué votan a Macri. Sólo les robaré el DNI para que no puedan votarlo, y ya.;NEGATIVO
Ah si capo?? Dicen que si gana las elecciones Macri se viene reforma laboral. Entonces pasaria simultaneamente de ser de izquierda a ser de derecha??? No ven que son unos pelotudos??;NEGATIVO
@pajarella Ah si ??? Mirá vos ??? A mi me advirtieron que la lista Frente de Todos es la 136. Y que tengamos cuidado que puede venir impresa con el 186. El oficialismo son ustedes y hay sospecha del nuevo sistema de transmisión... Cagadores hijos de puta.;NEGATIVO
Ah si? Como lo vas a hacer?? Y xq ahora si y no los 12 años q estuvieron en el poder?? Me dan gracia!;NEGATIVO
Ah pero cuando Macri fue a un acto de la bandera y se la paso tirando mierda a Moyano nadie dijo nada no? Se horrorizan porque los niños de un merendero cantan Vamos a volver? Deberían horrorizarse que haya merenderos y hacer políticas de Estado para los pibes estos..fin!;NEGATIVO
ah pero Macri no era el que sacó las retenciones y las volvió a poner? Panqueques;NEGATIVO
Ah.... era de suponer tu imbecilidad....pic.twitter.com/DbZA8Gda1b;NEGATIVO
Ah, pero sos un pelotudo atómico!!!!;NEGATIVO
Ah, pero sos un pelotudo atómico!!!!;NEGATIVO
"Ah pero sos un GIL IMPORTANTE . No te agredo, te describo...diría el mismísimo ""alfer""";NEGATIVO
"Ah pero sos un GIL IMPORTANTE . No te agredo, te describo...diría el mismísimo ""alfer""";NEGATIVO
Ah la mierda, no te alcanza ni para un tecito que tenes que tomar recito? con mi amiga no, esto ya es personal, voy por vos murisio macri;NEGATIVO
Ah pero a los q fueron a ver a Macri no les dicen nada eh. Pelotudxs;NEGATIVO
ahh mira vos;AMBIGUO
Ahh urtubey también me bloqueó..soy una paria;AMBIGUO
"Ahhh bueno sos un desgraciado .X qué hablás en plural la gran put...No es "" chalecos antibalas "" sería chaleco antibalas,imbécil!y quién sos vos para que el presidente te cuente si meo hoy? Me sacas mal!!!Te consagraste de PELOTUDO HOY !!!";NEGATIVO
ahhh pero que raro porque esa misma foto ninguneando a Gabriela Michetti, se mandaban por WhatsApp mis compañeros de laburo que son re parásitos de ATE y kirchneristas... será una coincidencia al igual que la fiscalización que va a hacer la Cámpora para Espert ?;NEGATIVO
Ahhh eras vos .... sos un imbécil total tenes mucho miedo de perder tu puesto y no llenar la heladera ... sos un tarado total;NEGATIVO
Ahhhh no hables de los sindicatos...porque es un tema álgido y una manga de aprovechados y mafiosos seriales y que yo sepa están en contra de Macri, apoyando qué proyecto??? Ojo que estas como la serpiente que se come la cola.;NEGATIVO
Ahhhh, pero Macri gato, mataputos, facho, represor y ñañaña;NEGATIVO
Ahhhh pero que pelotudo...;NEGATIVO
Ahhhh pero que pelotudo...;NEGATIVO
Ahhhh sos un pelotudo marca cañón nene;NEGATIVO
"Ahhhhh voy a votar a Macri así la pato se queda, la unica que defiende a las fuerzas federales como se debe. Votar a otro es volver a Garré y su ""sensación de inseguridad"", HIJOS DE PUTA";NEGATIVO
Ahi estaremos!!!;POSITIVO
Ahí estaremos! Firmes y dignos cuidando votos PERONISTAS! #YoTeVotoAlberto #VamoQueVolvemo;POSITIVO
Ahí tiene guardado la relojería que hace funcionar todas las pelotudeces que dice;NEGATIVO
Ahí tiene guardado la relojería que hace funcionar todas las pelotudeces que dice;NEGATIVO
Ahi tienen el motivo por el cual no aparece con CFK... Pq Cristina da mala imagen https://twitter.com/infobae/status/1158016667735285760 …;NEGATIVO
por ahí piensa votar en blanco. No es sano obligar a elegir a una persona entre dos opciones que le producen el mismo pánico o el mismo rechazo. Entre la tortura o la violación. Bassta dejen de ser tan tóxicos señores macristas.;NEGATIVO
Ahi q reconocerte @MalenaMassa q sos la única persona q puede sonreír sin cambiar su habitual cara de orto.;NEGATIVO
Ahi lo temes al Pelotudo No eatamos en veda??? Te la tomaste toda Chinwenwencha .....;NEGATIVO
Ahí lo tenés @marianoobarrio ¿Lo ves a @juanjomalvinas con el pañuelo celeste? ¿O querés anteojos? Me dan ganas de putearte pero x respeto no lo hago. Votá a Macri o a Lavagna, ambos abortistas. Centurión es un héroe de Malvinas, tiene lo q hay q tener y es Provida antes q vos.;NEGATIVO
Ahí tenés Miriam los que están con vos, los fascistas que tienen presos políticos. Se merecen mutuamente, siemore fueron la cría de mierda de la UD aliada a Braden contra Peron;NEGATIVO
ahi lo tenes al pelotudo!;NEGATIVO
ahi lo tenes al pelotudo!;NEGATIVO
Ahí lo tenes al pelotudo;NEGATIVO
Ahí lo tenes al pelotudo;NEGATIVO
Ahí lo tenés al pelotudo....;NEGATIVO
Ahí lo tenés al pelotudo...pic.twitter.com/QwnYrx5ovO;NEGATIVO
Ahí lo tenés al pelotudo....;NEGATIVO
Ahí lo tenés al pelotudo...pic.twitter.com/QwnYrx5ovO;NEGATIVO
"Ahí lo tenés al pelotudo, y que aparte no sabe debatir en vivo y diferenciar entre mandarinas y naranjas. ""Kicilove"" no volvés MÁS. #Espert2019 #EspertRosales2019 #Espertanos @jlespert @FrenteDespertar #ChauViejaPoliticahttps://twitter.com/giansodano/status/1159611375792152577 …";NEGATIVO
Ahí lo tenés al zurdito asesino;NEGATIVO
Ahí lo tenes al pelotudo....perdón, al hijo de puta #SeVanEnPrimeraVuelta #VieneUnQuilmesGrande #MayraMendoza2019 #AngelGarciaConcejal2019 #HayFuturo #FrenteDeTodos #AlbertoPresidente #FernandezFernandez2019 #KicillofMagario2019pic.twitter.com/rBJWXKbOwc;NEGATIVO
Ahi lo tenes al pelotudo...!!!! No se inunda mas....;NEGATIVO
Ahi lo tenes al pelotudo...!!!! No se inunda mas....;NEGATIVO
Ahí tenés boludito @mauriciomacri https://twitter.com/SePerel/status/1159907040740986882 …;NEGATIVO
Ahí tenés boludito @mauriciomacri https://twitter.com/SePerel/status/1159907040740986882 …;NEGATIVO
Ahí lo tenés al pelotudo!! Vota x la chota mía , ya los vas a ver presos a todos;NEGATIVO
Ahí lo tenés al pelotudo!! Vota x la chota mía , ya los vas a ver presos a todos;NEGATIVO
Jajajaja pero ahí lo tenés al pelotudo, votando a Macri.;NEGATIVO
Ahi lo tienen al pelotudo de Urtubey diciendo que con alegria se presenta pensando en la “pobre gente de Salta que esta noche no tiene que comer en su mesa”?es un inepto! Es él el responsable si los salteños no tienen que comer!!!! @mauriciomacri;NEGATIVO
Se ahí por forro y pelotudo como vos . Porque no hablas de q tu vieja está en el negocio de la EFEDRINA como tu viejo q se quedó con vuelto y por eso lo secuestraron . Cornudo cuida a tu mujer , forro y cornudo conciente ..;NEGATIVO
Se ahí por forro y pelotudo como vos . Porque no hablas de q tu vieja está en el negocio de la EFEDRINA como tu viejo q se quedó con vuelto y por eso lo secuestraron . Cornudo cuida a tu mujer , forro y cornudo conciente ..;NEGATIVO
Se ahí por forro y pelotudo como vos . Porque no hablas de q tu vieja está en el negocio de la EFEDRINA como tu viejo q se quedó con vuelto y por eso lo secuestraron . Cornudo cuida a tu mujer , forro y cornudo conciente ..;NEGATIVO
Ahí voy;AMBIGUO
Se ahogó, pavo!!!! por pelotudo!!;NEGATIVO
Se ahogó, pavo!!!! por pelotudo!!;NEGATIVO
SE AHOGO POR PELOTUDO DEFORESTADA MENTAL.;NEGATIVO
Se ahogó pelotudo negro de mierda;NEGATIVO
Se ahogó pelotudo negro de mierda;NEGATIVO
#AHORA #AlAire Estamos en comunicación con Roberto Lavagna @RLavagna, precandidato a presidente de la Nación por Consenso Federal.;AMBIGUO
AHORA ESTÁN TODOS ASUSTADOS, PIDIENDO QUE VOTEMOS A MACRI... ESPERO QUE NO SEA TARDE... ELLOS AYUDARON A DARLE VIDA A LOS CHORROS K...;NEGATIVO
"Ahora Este Atorrante Cuanto Hace Q Esta En ""Politica"" Q Rapido Aprendio Las Trampas D Macri !!! HDP";NEGATIVO
#Ahora en #BravoContinental | @RLavagna, precandidato a presidente por Consenso Federal | http://continental.com.ar/player pic.twitter.com/fV77SvcTmi;AMBIGUO
#Ahora en #CiudadanoComun: @RLavagna - Pre Candidato a Presidente de la Nación por Consenso Federal | @HoracioCabak @LuciaRBosch @dcayon @Diegokol Lavagna se prepara en el tramo final de su candidatura con recorridas por el interiorpic.twitter.com/xEzUiPlftf;AMBIGUO
Ahora en Congreso, emocionante cierre de campaña del FIT Unidad, vamos con Nicolás del Caño, con la fuerza de los trabajadorxs, por la juventud precarizada y los derechos de las mujeres, vamos con el FITU! #VamosConFITunidad #EleccionesArgentina #PASO2019 @NicolasdelCano pic.twitter.com/V0opDjGO8P;POSITIVO
Ahora te das cuenta porque salió Macri presidente. Cada pelotudo hay en el país;NEGATIVO
Y ahora los dos piensan: Que pelotudos!!! Tendriamos que estar en el lugar de Pichetto;NEGATIVO
"AHORA #FondoALaDerecha | Hilda 'Chiche' Duhalde en #RealpolitikFM: ""Con @RLavagna hablamos de economía y educación, son los temas centrales para después poder abordar otros temas. Sin esas soluciones no hay solución para nadie"" http://Realpolitik.fm pic.twitter.com/clvoG6rSWd";AMBIGUO
ahora hablemos d la serie de bring the soul q bh quiere subir a weverse(? Dios tantas ganas tenes q nos descarguemos esa app del orto, encima tnes q pagar, amigo macri subió el dólar así q deja d joder, xq mejor no aplicas el poder descargar los runs así poder verlos sin Internet;NEGATIVO
Ahora no se persona q haya gente en la calle????? Y cuando estaban que hacían??? Ahora,quiere crear otro ministerio??? Será para robar más!!!!;NEGATIVO
Ahora más que nunca critican a macri jajajajaja voten a la cristi ella nos robaba pero estábamos bien HAHAHAHAHAH PAJEROS VAGOS DE MIERDA;NEGATIVO
Ahora son peronistas 12 años decian ser kirchneristas y a los petonistas los mandaban a suturarse el orto dijo Cristina Kirchner a los peronistas en el sur no les dabamos bola,no vuelven más y lo saben;NEGATIVO
Y ahora piden que los voten sin argumentos... Nada de demagogia el presi;NEGATIVO
Ahora??? Esta quebrado? Y decis que no sos fanatico, el chamuyo guardatelo, 8 años sin crear un puto puesto de trabajo privado, llenar el estado de ñoquis dale y estamos quebrados ahora no titan deja la droga;NEGATIVO
Ahora??? Esta quebrado? Y decis que no sos fanatico, el chamuyo guardatelo, 8 años sin crear un puto puesto de trabajo privado, llenar el estado de ñoquis dale y estamos quebrados ahora no titan deja la droga;NEGATIVO
Ahora le estás quitando el pan a los cómicos #Albertitere!!! Cuando más serio decís las cosas, más cómico sos!!!;NEGATIVO
Ahora resulta que no hacen falta argumentos. Desde que tengo uso de razón, nunca hubo una campaña tan vacía de contenido y llena de mensajitos de libro de autoayuda como la de Macri. Nada de lo que pueda proponer el contrabandista será creíble despues del mamarracho de estos años https://twitter.com/mauriciomacri/status/1158053541950439424 …;NEGATIVO
Ahora según los pelotudos de acá no puedo escuchar a Wos y votar a macri (? Jajajjaja watch me bitch;NEGATIVO
Y ahora que se sentó Lavagna se puso más lindo todavía;AMBIGUO
AHORA SI PEDRITO. SEGUÍ HABLANDO BOLUDECES. Y BUSCA TODO LO QUE PROMETIERON LOS KIRCHNER NO SÓLO ESTOS 12 AÑOS DE MIERDA, BUSCA TAMBIÉN SANTA CRUZ, O SOS MUY PENDEJO PARA TODO ESO?... SI HABLAS SE CLARO Y HABLA DE TODO;NEGATIVO
es que ahora con macri comen mierda y barro que es peor;NEGATIVO
#Ahora | @NicolasdelCano en comunicación con #jaquealanoticia;AMBIGUO
"[AHORA] #LavagnaEnInfobae ""La economía argentina hace ocho años que está estancada"" #EleccionesArgentinapic.twitter.com/pIZsaSZdJ2";AMBIGUO
Ahora, Roberto Lavagna en #PolemicaEnElBarpic.twitter.com/dRebBJq5jc;AMBIGUO
Ahora tienen ellos a un Lavagna y Espert que le van a quitar algunos votos. Ahora, el injustificado odio a Cristina, que dicho sea de paso no es candidata a presidente, ya no pesa tanto contra el dolor de bolsillo.;NEGATIVO
#Ahora Me vine a tomar un café a @PolemicaBar Lo podes ver #EnVivo acá https://www.americatv.com.ar/ pic.twitter.com/FOgCLprcYr;AMBIGUO
#AHORA en vivo por @fmlibertadmol el pre candidato a presidente @RLavagna por el Frente Consenso Federal;AMBIGUO
AHORA, YO VOTO A #ESPERT. LISTA COMPLETA. SOMOS ESCLAVOS DE LA CASTA POLÍTICA, JUDICIAL Y SINDICAL. BASTA DE LADRONES.;NEGATIVO
#AhoraLavagnaGarcia Este #11A #NiConEllaNiConÉl #SomosTuAlternativa @RLavagna #Presidente @ArielGarciaUCR #DiputadoNacionalpic.twitter.com/3qLeHYeIMD;AMBIGUO
Ahre, si digo que Macri es una mierda como puedo ser macrista? Illuminate me;NEGATIVO
Ahre que tenía que ver Macri ??? Flaca te cerraron el orto con los argumentos que te dieron date cuenta;NEGATIVO
Ahre lo votaba junto a URTUBEY que queres que explote todo;AMBIGUO
aiiiaaa se está burlando de macriii.! macri en sí, es un meme, deja de escandalizarte por cualquier boludez.;NEGATIVO
"Aja claro, venís a decir cualquier forrada sin ningún sustento, pero después se victimiza. Tomatelas pelotudo. Ese jueguito ya lo capte varias veces, debe ser la bajada de línea del call. Hartan. ""Zoz funzional a loz K! Ay pedo no me inzulten!"".";NEGATIVO
Aja No???jajajajajaIgual hay un monton de idiotas que no creen Son los votantes de Macri..... Ignorantes??O solo boludos!!! https://twitter.com/Fr_Dupree/status/1160179582894583808 …;NEGATIVO
Ajá. Y todas esas personas de la tercera edad que este imbecil les quito medicinas que güey? Y tengo evidencia d lo que digo.;NEGATIVO
Ajam es controvertido cuando apoya a Macri y cuando apoyan a una banda de chorros k es lo mas normal. Que verguenza clarin 12;NEGATIVO
Ajsjsjsjsjaj amo los memes de macri lpm https://www.facebook.com/100002333568061/posts/2328611487226614/ …;NEGATIVO
Alan Mendoza puta Madre :( tienes a Idekel Domínguez o Diego Rosales.;NEGATIVO
Alberdi era el que aplaudia las barrabasadas de Sarmiento sobre el exterminio de indios y gauchos,por mas que despues se arrepintio? No gorilon,mis referentes son el chacho peñaloza y felipe varela;NEGATIVO
hay albergues para que puedan ir a dormir esa gente que vos decís, por culpa de estas gente, el personal pierden su trabajo. Lo suspenden y le descuentan. Macri es un señor pelotudo. Pero esta gente está enferma para dormir en un tacho de basura.;NEGATIVO
Albertitere tuvieron que grabarlo en CABA porque los puentes que hicieron en Tucumán se caen o fue por otro tema?;NEGATIVO
Tenemos que alcanzar la confianza y la voluntad de nuestras hermanas y hermanos todos y construir la ARGENTINA CON EL MAS GRANDE CONSENSO FEDERAL @RLavagna PRESIDENTE @JuanUrtubey VICE PRESIDENTE @marcelolaragros Sen Nac @Pablokosiner Dip.Nac.pic.twitter.com/xnjwR3D3eu;POSITIVO
Alconada Mon enterró a Macri: reveló que paga fortunas a periodistas https://www.youtube.com/watch?v=VY2ABTDEdes …;NEGATIVO
me alegra mucho que varixs de los que votaron a macri en 2015 hoy voten a cualquiera menos a el, incluso muchxs se hicieron k a partir de su gobierno nefasto asi como tambien otrxs siguen apoyandolo porque in 4 añis ni pidis arriglir el disistri k, imbeciles;NEGATIVO
Alegre el viejo, como Carlos Saúl Méndez a bordo de la Feyari. Y casi, casi, igual de corrupto.;NEGATIVO
"Y el alemán te contestó "" es Cristina pelotudo "" .... Fernández Fernández Y que vuelva el Pan con Manteca ....";NEGATIVO
Con Alfonsín, les salió bien. Con De la Rúa, tmb. Con Macri, se los van a tener que meter en el orto!;NEGATIVO
Alfonsin tenia mayoria y las gob mas importantes, y le fue para el orto. Alfonsin socialdemocrata. Macri tambien lo es. Por lo que sus ideas van a fracasar Para agregar: durante el 2016 a Macri le aprobaron mas del 70% de sus proyectos, y tamb una reforma previsional minima;NEGATIVO
Hay Alfredito, cambia la descripción tu inicio. No sos periodista, menos independiente. Sos un Kakarulo q solo quiere convencer a los q, NUNCA MÁS QUEREMOS QUE VUELVAN! Das pena con tus comentarios. #MacriPichetto2019ListaCompleta #NSB . Cuánto te pagan por tanta estupidez?;NEGATIVO
Hay Alfredito, cambia la descripción tu inicio. No sos periodista, menos independiente. Sos un Kakarulo q solo quiere convencer a los q, NUNCA MÁS QUEREMOS QUE VUELVAN! Das pena con tus comentarios. #MacriPichetto2019ListaCompleta #NSB . Cuánto te pagan por tanta estupidez?;NEGATIVO
Alfredito: El Presidente usa chaleco porque lucha contra el narcotráfico, la policía corrupta, el juego clandestino, la mafia sindical, la carcelaria y la corrupción K. Todos quieren matarlo y ya mataron a muchos. Entendés?;NEGATIVO
Alfredito: El Presidente usa chaleco porque lucha contra el narcotráfico, la policía corrupta, el juego clandestino, la mafia sindical, la carcelaria y la corrupción K. Todos quieren matarlo y ya mataron a muchos. Entendés?;NEGATIVO
Alfredito! Vos la querrás! Pero qué todos la quieren?? estás muy muy equivocado! Vos seguí con tu amor y déjanos a nosotros! Qué no la queremos!por corrupta y soberbia!;NEGATIVO
Alfredito.sos muy pelotudo.saludos a tu mami;NEGATIVO
Alfredito.sos muy pelotudo.saludos a tu mami;NEGATIVO
Alfredo con esa cara de infeliz diciendo boludeces;NEGATIVO
Alfredo con esa cara de infeliz diciendo boludeces;NEGATIVO
Alfredo Landa, Garci y el difunto Arturo Fernández a nivel patrio. Y les pasaron factura los gilí progres, boicoteando sus carreras.;NEGATIVO
Alfredo ,sos un pelotudo !;NEGATIVO
Alfredo ,sos un pelotudo !;NEGATIVO
Alfredo sos pelotudo o te haces? Espero tu respuesta....;NEGATIVO
Alfredo sos pelotudo o te haces? Espero tu respuesta....;NEGATIVO
Alfredo vos con esa cara de boludo, escribis en Twitter??? Callate imprensentsble;NEGATIVO
Alfredo vos con esa cara de boludo, escribis en Twitter??? Callate imprensentsble;NEGATIVO
Algoritmo de twitter, basta de recomendarme a Macri para seguirlo. Sí, soy idiota, pero tampoco tanto;NEGATIVO
Alguien conoce a alguien que NO VOTÓ a Macri en 2015, que lo vaya a votar ahora? #EleccionesPaso2019;AMBIGUO
Alguien se imaginaba q @mauriciomacri iba a caer tan bajo con el “no se necesitan argumentos “?;NEGATIVO
Cuando alguien plantee polarizar la elección es simple. Lavagna gana en segunda ronda a cualquier contrincante. Por eso Macri y Fernández quieren pasar ese corte. Si van a segunda ronda es complicado...;NEGATIVO
Alguien más tiene un re miedo de lo que pase en octubre? Lpm gana macri y yo me suicido;NEGATIVO
Alguien que voto a Macri no votaría a Alberto, hasta lo de Lavagna sonaba creible.;NEGATIVO
Algún día el almuerzo va a ser del pueblo a la oligarquía. Garcas;NEGATIVO
Algún día el almuerzo va a ser del pueblo a la oligarquía. Garcas;NEGATIVO
Algún día tendré el honor de escribir macri culiadazo en una pared de alta córdoba yo lo sé;NEGATIVO
algún día los votantes de espert van a dejar de hacer el ridículo? la respuesta no los sorprenderá https://twitter.com/alexwragge_518/status/1159964786181980161 …;NEGATIVO
Algún hermano Argentino que reconozca a está basura? Llevándoselo a su patria, igual y solucionan el desmadre que les deja @mauriciomacri , dice que se siente muy chingón? https://twitter.com/juansolervalls/status/1159526161149562880 …;NEGATIVO
Algún hermano Argentino que reconozca a está basura? Llevándoselo a su patria, igual y solucionan el desmadre que les deja @mauriciomacri , dice que se siente muy chingón? https://twitter.com/juansolervalls/status/1159526161149562880 …;NEGATIVO
"en algún momento creí que tenías algo en la cabeza.....lo mismo del panqueque felpudo de tu media naranja.....ahora veo que son todos Uds. la misma lacra. Y encima vos escribiendo con ""x"".....repulsa causan todos Uds.!!!";NEGATIVO
"en algún momento creí que tenías algo en la cabeza.....lo mismo del panqueque felpudo de tu media naranja.....ahora veo que son todos Uds. la misma lacra. Y encima vos escribiendo con ""x"".....repulsa causan todos Uds.!!!";NEGATIVO
Porque algún idiota K puede infiltrarse en la multitud y dispararle, es el Presidente de la Nación y todas las medidas de seguridad son necesarias para preservar su integridad física, ¿no lo sabías, periodista kirchnerista independiente.... de la inteligencia?;NEGATIVO
Porque algún idiota K puede infiltrarse en la multitud y dispararle, es el Presidente de la Nación y todas las medidas de seguridad son necesarias para preservar su integridad física, ¿no lo sabías, periodista kirchnerista independiente.... de la inteligencia?;NEGATIVO
Alguna otra pelotudez sensiblera para decir?;NEGATIVO
Algune va a votar a Macri, posta? A quien lo haga le mando una caricia significativa proveniente de la concha de mi madre. #YoloBoto;NEGATIVO
Ali baba y los cuarenta ladrones!!pic.twitter.com/a7KFtrdnrP;NEGATIVO
Ali baba y los cuarenta ladrones!!pic.twitter.com/a7KFtrdnrP;NEGATIVO
Ali baba y los cuarenta ladrones!!pic.twitter.com/a7KFtrdnrP;NEGATIVO
"""Voto a Fernández para comer asado los domingos"" ya tuvimos a Alí Babá y los cuarenta ladrones, ahora nos merecemos las diez plagas de Egipto. #PrioridadesDeUnPeronista";NEGATIVO
Yo, alistándome para leer toda la mierda sobre Alejandro Fernández pic.twitter.com/7LvZlyJEOh;NEGATIVO
y más allá de eso, que es lo bueno que hizo macri? NADA CHABON NADA el dólar por las nubes, el índice de pobreza al 34%, y hasta vos te quejás pero añaña voy a votar a macri. ignorante de mierda;NEGATIVO
alla vamoa Fernández eh te vamos a votar la puta q te pario dijo la vieja alicia;NEGATIVO
Estoy almorzando discutiendo sobre las elecciones con alguien q va a votar a Macri, otra a Lavagna, otro a Espert y otro a Fernandez, no se si reír, llorar, poner una bomba o salir corriendo;NEGATIVO
Alta noche pa hacer alguna y no tengo un peso, la concha de Macri;NEGATIVO
La alternativa pasa por acá yo tambien voto #LavagnaPresidente #ConcensoFederal y @EnriqueeEstevez;POSITIVO
Hay alternativa para otra realidad con @EnriqueeEstevez @RLavagna y @caropiedrabuena ! A seguir asi!;POSITIVO
alto asco los que votan a macri, tan invalido ibas a ser hdp;NEGATIVO
Alto garca;NEGATIVO
Alto garca;NEGATIVO
Alto chorro como la cfk amiwoo;NEGATIVO
Altos gorilas, horribles.;NEGATIVO
Altos gorilas, horribles.;NEGATIVO
A esta altura, hay 2 certezas y una incógnita. 1. Macri gobernó de forma nefasta. 2. La oposición K es horripilante, como corrupto fue su gobierno. No deberían ganar ninguno de los 2. Pero uno de ellos lo va a hacer, lamentablemente. Esa es la incógnita.;NEGATIVO
La ama tanto el pueblo, que tiene que salir a la calle con 60 policías de la federal de custodia... Que boludos son los kirchneristas...;NEGATIVO
Amado Boudou tiene una condena - no está firme- por haber calificado de mafioso a un empresario. De repensar que debo hacer contra Macri por haberme calificado de ser líder de una mafia laboralista. No por los ticket canasta!;NEGATIVO
Amado macri, debes chupame la pija.. pic.twitter.com/s4Xy8pxltN;NEGATIVO
La aman tanto que en 2017 se lo demostraron, jajaja perdió contra un ministro de educación, me entendés? Con una persona que no conocían los k jajaja con un amor así, mejor que me odien, ridículo;NEGATIVO
La aman los chorros y corruptos como vos y la grasada de gente que la sigue...;NEGATIVO
Ambas cosas;AMBIGUO
Esto es una amenaza?;AMBIGUO
Una amiga me acaba de decir que su novia iba a votar a Macri y yo ya estaba por entrar a las puteadas y era mentira. Pelotuda no podías hacerme ese chiste mañana?;NEGATIVO
una amiga es re K y le dije que son todos unos chorros pero macri también y me bloqueo jakajja que genteee;NEGATIVO
Mi amiga siempre te manda a chupar una pija. ¿Estás enojada? CHUPATE UNA PIJA ¿Te fue mal en un parcial? CHUPATE UNA PIJA ¿Te duele la panza? CHUPATE UNA PIJA ¿Gana Macri? CHUPATE UNA PIJA ¿Tenes resaca? CHUPATE UNA PIJA;NEGATIVO
